"Document number","Record Type","Period/Year","Sales Order","Sales Order Item","Ordered Quantity","Invoiced Quantity","Cost Element","Material input","Company Code","Product","Currency","Currency type","Revenue","Other cost",
"15187","F","001.2018","140","10","0","20","","101.40","1010","T-F100","EUR","B0","11980.00","0",
"15188","F","001.2018","140","20","0","20","","101.40","1010","T-F101","EUR","B0","11980.00","0",
"15189","F","001.2018","140","30","0","20","","101.40","1010","T-F102","EUR","B0","11980.00","0",
"15190","F","001.2018","140","40","0","20","","101.40","1010","T-F103","EUR","B0","11980.00","0",
"15191","F","001.2018","140","50","0","20","","101.40","1010","T-F104","EUR","B0","11980.00","0",
"15187","F","001.2018","140","10","0","20","","101.40","1010","T-F100","EUR","10","11980.00","0",
"15188","F","001.2018","140","20","0","20","","101.40","1010","T-F101","EUR","10","11980.00","0",
"15189","F","001.2018","140","30","0","20","","101.40","1010","T-F102","EUR","10","11980.00","0",
"15190","F","001.2018","140","40","0","20","","101.40","1010","T-F103","EUR","10","11980.00","0",
"15191","F","001.2018","140","50","0","20","","101.40","1010","T-F104","EUR","10","11980.00","0",
"16081","F","003.2018","256","10","0","1","","21.91","1010","T-F100","EUR","B0","599.00","0",
"16081","F","003.2018","256","10","0","1","","21.91","1010","T-F100","EUR","10","599.00","0",
"16085","F","003.2018","257","10","0","1","","21.91","1010","T-F100","EUR","B0","599.00","0",
"16085","F","003.2018","257","10","0","1","","21.91","1010","T-F100","EUR","10","599.00","0",
"16084","F","003.2018","258","10","0","1","","21.91","1010","T-F100","EUR","B0","599.00","0",
"16084","F","003.2018","258","10","0","1","","21.91","1010","T-F100","EUR","10","599.00","0",
"16504","F","008.2018","266","10","0","2","","0","1010","TG11","EUR","B0","35.10","0",
"16504","F","008.2018","266","10","0","2","","0","1010","TG11","EUR","10","35.10","0",
"","","","","","","","","","","","EUR","","123464.20","",
