"Material","Valuation Area","Standard price","Price unit",
"T-FL1B31","1010","1253.10","1",
"T-FL1B32","1010","1253.10","1",
"T-FL1B33","1010","1253.10","1",
"T-FL1B34","1010","1253.10","1",
"T-FL1B35","1010","1253.10","1",
"T-FL1B36","1010","1253.10","1",
"T-FL1B37","1010","1253.10","1",
"T-FL1B38","1010","1253.10","1",
"T-FL1B39","1010","1253.10","1",
"T-FL1B40","1010","1253.10","1",
"T-FL1B41","1010","1253.10","1",
"T-FL1B42","1010","1253.10","1",
"T-FL1B43","1010","1253.10","1",
"T-FL1B44","1010","1253.10","1",
"T-FL1B45","1010","1253.10","1",
"T-FL1B46","1010","1253.10","1",
"T-FL1B47","1010","1253.10","1",
"T-FL1B48","1010","1253.10","1",
"T-FL1B49","1010","1253.10","1",
"T-FL1B50","1010","1253.10","1",
"T-FL1B51","1010","1253.10","1",
"T-FL1B52","1010","1253.10","1",
"T-FL1B53","1010","1253.10","1",
"T-FL1B54","1010","1253.10","1",
"T-FL1B55","1010","1253.10","1",
"T-FL1B56","1010","1253.10","1",
"T-FL1B57","1010","1253.10","1",
"T-FL1B58","1010","1253.10","1",
"T-FL1B59","1010","1253.10","1",
"T-FL1B60","1010","1253.10","1",
"T-FL1B61","1010","1253.10","1",
"T-FL1B62","1010","1253.10","1",
"T-FL1B63","1010","1253.10","1",
"T-FL1B64","1010","1253.10","1",
"T-FL1B65","1010","1253.10","1",
"T-FL1B66","1010","1253.10","1",
"T-FL1B67","1010","1253.10","1",
"T-FL1B68","1010","1253.10","1",
"T-FL1B69","1010","1253.10","1",
"T-FL1B70","1010","1253.10","1",
"T-FL1B71","1010","1253.10","1",
"T-FL1B72","1010","1253.10","1",
"T-FL1B73","1010","1253.10","1",
"T-FL1B74","1010","1253.10","1",
"T-FL1B75","1010","1253.10","1",
"T-FL1B76","1010","1253.10","1",
"T-FL1B77","1010","1253.10","1",
"T-FL1B78","1010","1253.10","1",
"T-FL1B79","1010","1253.10","1",
"T-FL1B80","1010","1253.10","1",
