"Posting Date","Order","Material","Goods movement indic","Quantity in unit of entry","GR Non-Valuated","Material Document","Mat.document item","Movement Type","Storage Location","Batch","Debit/Credit Ind.","Amt.in Loc.Cur.","Currency","Qty in UoE + sign","Qty in base un. + sign","Quantity in base unit","Document Date",
"2017-01-02","1000020","T-R100","1","2","","4900000232","3","261","101B","","H","3.30","EUR","2","2","2","2017-01-02",
"2017-01-02","1000020","T-S100","1","2","","4900000232","1","261","101B","","H","13.00","EUR","2","2","2","2017-01-02",
"2017-01-02","1000020","T-S200","1","4","","4900000232","2","261","101B","","H","27.40","EUR","4","4","4","2017-01-02",
"2017-01-02","1000020","T-F100","4","1","","4900000233","1","101","101A","","S","-52.91","EUR","-1","-1","1","2017-01-02",
"2017-05-06","1000041","T-FL3A00","1","11","","4900000386","1","261","101A","","H","30800.00","EUR","11","11","11","2017-05-06",
"2017-05-06","1000041","T-FL3B00","1","10","","4900000386","2","261","101A","","H","10000.00","EUR","10","10","10","2017-05-06",
"2017-05-06","1000041","T-FL3C00","1","5600","","4900000386","3","261","101A","","H","1600.00","EUR","5600","8","8","2017-05-06",
"2017-05-06","1000041","T-FL300","4","5","","4900000387","1","101","101A","","S","-21303.95","EUR","-5","-5","5","2017-05-06",
"2017-05-11","1000050","T-FL3A00","1","11","","4900000400","1","261","101A","","H","30800.00","EUR","11","11","11","2017-05-11",
"2017-05-11","1000050","T-FL3B00","1","10","","4900000400","2","261","101A","","H","10000.00","EUR","10","10","10","2017-05-11",
"2017-05-11","1000050","T-FL3C00","1","5600","","4900000400","3","261","101A","","H","1600.00","EUR","5600","8","8","2017-05-11",
"2017-05-11","1000050","T-FL300","4","5","","4900000401","1","101","101A","","S","-21303.95","EUR","-5","-5","5","2017-05-11",
"2017-05-11","1000050","T-FL300","4","5","","5000000098","1","101","101A","","S","-21303.95","EUR","-5","-5","5","2017-05-11",
"2017-06-12","1000060","T-FL3A00","1","6","","4900000515","1","261","101A","","H","16880.40","EUR","6","6","6","2017-06-12",
"2017-06-12","1000060","T-FL3B00","1","5","","4900000515","2","261","101A","","H","5067.00","EUR","5","5","5","2017-06-12",
"2017-06-12","1000060","T-FL3C00","1","2800","","4900000515","3","261","101A","","H","853.60","EUR","2800","4","4","2017-06-12",
"2017-06-12","1000060","T-FL300","4","4","","4900000516","1","101","101A","","S","-16797.36","EUR","-4","-4","4","2017-06-12",
"2019-07-31","1000140","T-FL200","1","1","","4900001044","6","261","101A","","H","507.36","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FL300","1","1","","4900001044","7","261","101A","","H","4418.31","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FL8A00","1","1","","4900001044","4","261","101A","","H","126.80","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FL8B00","1","1","","4900001044","3","261","101A","","H","326.80","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FL8C00","1","1","","4900001044","2","261","101A","","H","126.80","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FV3C00","1","1033.929","","4900001044","8","261","101A","","H","29.60","EUR","1033.929","0.148","0.148","2019-07-31",
"2019-07-31","1000140","T-FV5C02","1","1","","4900001044","9","261","101A","","H","36.00","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FV5D01","1","1","","4900001044","5","261","101A","","H","1200.00","EUR","1","1","1","2019-07-31",
"2019-07-31","1000140","T-FCL00","4","1","","4900001044","1","101","101A","","S","-15127.55","EUR","-1","-1","1","2019-07-31",
"2019-11-11","1000180","T-FL3A00","1","3","","4900001082","1","261","101A","","H","8480.40","EUR","3","3","3","2019-11-11",
"2019-11-11","1000180","T-FL3B00","1","3","","4900001082","2","261","101A","","H","3080.40","EUR","3","3","3","2019-11-11",
"2019-11-11","1000180","T-FL3C00","1","1500","","4900001082","3","261","101A","","H","680.40","EUR","1500","3","3","2019-11-11",
"2019-11-11","1000180","T-FL300","4","3","","4900001083","1","101","101A","","S","-13208.61","EUR","-3","-3","3","2019-11-11",
"2019-11-11","1000181","T-FL100","1","3","","4900001084","1","261","101A","","H","30684.30","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL200","1","3","","4900001084","2","261","101A","","H","1522.08","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL300","1","3","","4900001084","3","261","101A","","H","13208.61","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL400","1","3","","4900001084","4","261","101A","","H","23072.16","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL500","1","3","","4900001084","5","261","101A","","H","26540.61","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL600","1","3","","4900001084","6","261","101A","","H","10646.91","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL700","1","3","","4900001084","7","261","101A","","H","8358.60","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL800","1","3","","4900001084","8","261","101A","","H","1894.53","EUR","3","3","3","2019-11-11",
"2019-11-11","1000181","T-FL00","4","3","","4900001085","1","101","101A","","S","-121158.30","EUR","-3","-3","3","2019-11-11",
"2019-11-11","1000183","T-FL3A00","1","3","","4900001086","1","261","101A","","H","8480.40","EUR","3","3","3","2019-11-11",
"2019-11-11","1000183","T-FL3B00","1","3","","4900001086","2","261","101A","","H","3080.40","EUR","3","3","3","2019-11-11",
"2019-11-11","1000183","T-FL3C00","1","1500","","4900001086","3","261","101A","","H","680.40","EUR","1500","3","3","2019-11-11",
"2019-11-11","1000183","T-FL300","4","3","","4900001087","1","101","101A","","S","-13208.61","EUR","-3","-3","3","2019-11-11",
"2019-11-11","1000184","T-FL100","1","3","","4900001089","1","261","101A","","H","30684.30","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL200","1","3","","4900001089","2","261","101A","","H","1522.08","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL300","1","3","","4900001089","3","261","101A","","H","13208.61","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL400","1","3","","4900001089","4","261","101A","","H","23072.16","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL500","1","3","","4900001089","5","261","101A","","H","26540.61","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL600","1","3","","4900001089","6","261","101A","","H","10646.91","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL700","1","3","","4900001089","7","261","101A","","H","8358.60","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL800","1","3","","4900001089","8","261","101A","","H","1894.53","EUR","3","3","3","2019-11-11",
"2019-11-11","1000184","T-FL00","4","2","","4900001090","1","101","101A","","S","-80772.20","EUR","-2","-2","2","2019-11-11",
"2019-11-14","1000184","T-FL00","4","1","","4900001093","1","101","101A","","S","-40386.10","EUR","-1","-1","1","2019-11-14",
"2019-11-15","1000200","T-FL3A00","1","3","","4900001095","1","261","101A","","H","8480.40","EUR","3","3","3","2019-11-15",
"2019-11-15","1000200","T-FL3B00","1","3","","4900001095","2","261","101A","","H","3080.40","EUR","3","3","3","2019-11-15",
"2019-11-15","1000200","T-FL3C00","1","1500","","4900001095","3","261","101A","","H","680.40","EUR","1500","3","3","2019-11-15",
"2019-11-15","1000200","T-FL300","4","3","","4900001096","1","101","101A","","S","-13208.61","EUR","-3","-3","3","2019-11-15",
"2019-11-15","1000201","T-FL100","1","3","","4900001098","1","261","101A","","H","30684.30","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL200","1","3","","4900001098","2","261","101A","","H","1522.08","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL300","1","3","","4900001098","3","261","101A","","H","13208.61","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL400","1","3","","4900001098","4","261","101A","","H","23072.16","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL500","1","3","","4900001098","5","261","101A","","H","26540.61","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL600","1","3","","4900001098","6","261","101A","","H","10646.91","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL700","1","3","","4900001098","7","261","101A","","H","8358.60","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL800","1","3","","4900001098","8","261","101A","","H","1894.53","EUR","3","3","3","2019-11-15",
"2019-11-15","1000201","T-FL00","4","3","","4900001099","1","101","101A","","S","-121158.30","EUR","-3","-3","3","2019-11-15",
"2020-12-04","1000220","T-R129","1","3","","4900001244","3","261","101B","","H","4.95","EUR","3","3","3","2020-12-04",
"2020-12-04","1000220","T-S129","1","4","","4900001244","1","261","101B","","H","81.56","EUR","4","4","4","2020-12-04",
"2020-12-04","1000220","T-S229","1","6","","4900001244","2","261","101B","","H","118.32","EUR","6","6","6","2020-12-04",
"2020-12-04","1000220","T-F129","4","1","","4900001246","1","101","101A","","S","-145.30","EUR","-1","-1","1","2020-12-04",
"2020-12-04","1000220","T-F129","4","1","","4900001248","1","101","101A","","S","-145.30","EUR","-1","-1","1","2020-12-04",
"2021-12-09","1000240","ACT-LK00","1","8","","4900001332","2","261","0001","","H","0.08","EUR","8","8","8","2021-12-09",
"2021-12-09","1000240","ACT-LE00","4","8","","4900001332","1","101","0001","","S","-480.08","EUR","-8","-8","8","2021-12-09",
"2021-12-09","1000241","ACT-LK00","1","20","","4900001335","2","261","0001","","H","0.20","EUR","20","20","20","2021-12-09",
"2021-12-09","1000241","ACT-LE00","4","20","","4900001335","1","101","0001","","S","-1200.20","EUR","-20","-20","20","2021-12-09",
"2022-01-27","1000262","ACT-LK00","3","1","","5000000230","1","101","","","S","0.01","EUR","1","1","1","2022-01-27",
"2022-01-27","1000262","ACT-LEC00","4","1","","4900001358","1","101","0001","","S","-68.41","EUR","-1","-1","1","2022-01-27",
"2026-09-11","1000300","T-RSP134","1","10","","4900006734","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-11",
"2026-09-11","1000300","T-SSP134","1","10","","4900006736","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-11",
"2026-09-11","1000300","T-SSP234","1","20","","4900006734","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-11",
"2026-09-11","1000300","T-FSP134","4","10","","5000000310","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-11",
"2026-09-11","1000302","T-RSP134","1","10","","4900006743","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-11",
"2026-09-11","1000302","T-RSP534","1","10","","4900006745","2","261","101B","","H","2.50","EUR","10","10","10","2026-09-11",
"2026-09-11","1000302","T-SSP234","1","20","","4900006743","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-11",
"2026-09-11","1000302","T-FSP134","4","10","","4900006745","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-11",
"2026-09-11","1000304","T-RSP134","1","10","","4900006753","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-11",
"2026-09-11","1000304","T-RSP534","1","10","","4900006753","3","261","101B","","H","2.50","EUR","10","10","10","2026-09-11",
"2026-09-11","1000304","T-SSP234","1","20","","4900006753","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-11",
"2026-09-11","1000304","T-FSP134","4","10","","4900006754","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-11",
"2026-09-12","1000306","P-FL300","4","1","","5000000316","1","101","101A","","S","-4311.39","EUR","-1","-1","1","2026-09-12",
"2026-09-12","1000306","P-FL300","4","1","","5000000317","1","102","101A","","H","4311.39","EUR","1","1","1","2026-09-12",
"2026-09-12","1000307","P-FL3A00","1","1","","4900006755","1","261","101A","","H","2826.80","EUR","1","1","1","2026-09-12",
"2026-09-12","1000307","P-FL3B00","1","1","","4900006755","2","261","101A","","H","1026.80","EUR","1","1","1","2026-09-12",
"2026-09-12","1000307","P-FL3C00","1","500","","4900006755","3","261","101A","","H","226.80","EUR","500","1","1","2026-09-12",
"2026-09-12","1000308","P-FL3A00","1","1","","4900006757","1","261","101A","","H","2826.80","EUR","1","1","1","2026-09-12",
"2026-09-12","1000308","P-FL3B00","1","1","","4900006757","2","261","101A","","H","1026.80","EUR","1","1","1","2026-09-12",
"2026-09-12","1000308","P-FL3C00","1","500","","4900006757","3","261","101A","","H","226.80","EUR","500","1","1","2026-09-12",
"2026-09-12","1000308","P-FL300","4","1","","5000000320","1","101","101A","","S","-4311.39","EUR","-1","-1","1","2026-09-12",
"2026-09-12","1000312","T-RSP135","1","10","","4900006762","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-12",
"2026-09-12","1000312","T-RSP535","1","10","","4900006762","3","261","101B","","H","2.50","EUR","10","10","10","2026-09-12",
"2026-09-12","1000312","T-SSP235","1","20","","4900006762","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-12",
"2026-09-12","1000312","T-FSP135","4","10","","4900006763","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-12",
"2026-09-12","1000314","T-RSP135","1","10","","4900006764","3","261","101B","","H","16.50","EUR","10","10","10","2026-09-12",
"2026-09-12","1000314","T-RSP535","1","10","","4900006764","4","261","101C","","H","2.50","EUR","10","10","10","2026-09-12",
"2026-09-12","1000314","T-SSP135","1","10","","4900006764","1","261","101A","","H","446.90","EUR","10","10","10","2026-09-12",
"2026-09-12","1000314","T-SSP235","1","20","","4900006764","2","261","101B","","H","125.00","EUR","20","20","20","2026-09-12",
"2026-09-13","1000316","T-RSP133","1","10","","4900006768","3","261","101A","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000316","T-RSP533","1","10","","4900006768","4","261","101C","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000316","T-SSP133","1","10","","4900006768","1","261","101A","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000316","T-SSP233","1","20","","4900006768","2","261","101A","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000316","T-FSP133","4","10","","4900006769","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000317","T-RSP132","1","10","","4900006773","3","261","101A","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000317","T-RSP532","1","10","","4900006773","4","261","101C","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000317","T-SSP132","1","10","","4900006773","1","261","101A","","H","446.90","EUR","10","10","10","2026-09-13",
